Mol,Med,Voie,Cible,Indication,Code_LES,Code_ATU/Post_ATU/AAC/AAP/CPC,Code_UCD
CÉTUXIMAB,ERBITUX,IV,Digestif,Traitement des patients présentant un cancer colorectal métastatique avec gène RAS de type sauvage (K-RAS et N-RAS non muté) exprimant le récepteur du facteur de croissance épidermique (EGFR) en association à une chimiothérapie à base d’irinotecan,I000105,,"9260599
9301111 (Erbitux 500 mg)
9301128 (Erbitux 100 mg)"
DABRAFENIB,DABRAFÉNIB,,Bronchopulmonaire,Adénocarcinome bronchique métastatique,,NDABR09,9000385
DABRAFENIB,TAFINLAR,,Dermatologique,"En association au trametinib est indiqué dans le traitement adjuvant des patients adultes atteints d’un mélanome de stade III porteur d’une mutation BRAF V600, après résection complète ",,,
DABRAFÉNIB,DABRAFENIB,,Bronchopulmonaire,Adénocarcinome bronchique métastatique,,NDABR09,9000385
DABRAFÉNIB,DABRAFÉNIB,PO,Bronchopulmonaire,Adénocarcinome bronchique métastatique,,NDABR09,9000385
DABRAFÉNIB,TAFINLAR,PO,Dermatologique,"En association au trametinib est indiqué dans le traitement adjuvant des patients adultes atteints d’un mélanome de stade III porteur d’une mutation BRAF V600, après résection complète ",,,
DACARBAZINE,DETICENE,IV,Dermatologique,Traitement de certains cancers affectant la peau (mélanomes malins) hors traitement de recours après échappement des immunothérapies et/ou thérapies dites ciblées selon le statut B-RAF ,,,
DACOMITINIB,VIZIMPRO,PO,Bronchopulmonaire,En monothérapie pour le traitement de première intention des patients adultes atteints d’un cancer du poumon non à petites cellules (CPNPC) localement avancé ou métastatique avec mutations activatrices du récepteur du facteur de croissance épidermique (EGFR).,,,
DACTINOMYCINE,COSMEGEN,IV,Autre,"Néphroblastome ou tumeur de Wilms.
Rhabdomyosarcome.
Carcinome des testicules.
Sarcome d'Ewing.
Tumeur trophoblastique gestationnelle",,,
DARATUMUMAB,DARZALEX,IV,Hématologique,"Darzalex est indiqué en combinaison avec le lenalidomide et la dexaméthasone, ou le bortezomib et la dexaméthasone, pour le traitement de patients adultes atteints de myélome multiple ayant reçu au moins une ligne de traitement au préalable",I000465,,"9417871 (400 mg)
9417888 (100 mg)"
DAROLUTAMIDE,NUBEQA,PO,Uro/néphrologie,Traitement du cancer de la prostate métastatique hormono-sensible en association avec le docétaxel et avec un traitement par suppression androgénique,,,
DASATINIB,SPRYCEL,PO,Hématologique,Chez des patients adultes atteints de leucémie myéloïde chronique (LMC) à chromosome Philadelphie (Ph+) en phase chronique nouvellement diagnostiquée.,,,
DAUNORUBICINE,CERUBIDINE,,Hématologique,"Chez l'enfant, dans le cadre de polychimiothérapies : 
 •Leucémie aiguë lymphoïde.
 •Leucémie aiguë myéloïde.",,,
DAUNORUBICINE,CÉRUBIDINE,IV,Hématologique,"Chez l'enfant, dans le cadre de polychimiothérapies : 
 •Leucémie aiguë lymphoïde.
 •Leucémie aiguë myéloïde.",,,
DAUNORUBICINE + CYTARABINE,VYXEOS,IV,Hématologique,"Traitement des patients adultes présentant une leucémie aiguë myéloblastique nouvellement diagnostiquée, secondaire à un traitement (LAM-t) ou une LAM avec anomalies associées aux myélodysplasies (LAM-MRC).",I000604,,9440433
DECITABINE + CEDAZURIDINE,INAQOVI,,Hématologique,Traitement des patients adultes atteints de leucémie aiguë myéloïde (LAM) nouvellement diagnostiquée et qui ne sont pas éligibles à une chimiothérapie d'induction standard.,,,
DEGARELIX,FIRMAGON,,Uro/néphrologie,"Traitement du cancer de la prostate avancé, hormono-dépendant",,,
DEXAMETHASONE,DEXLIQ,,Hématologique,"Traitement du myélome multiple symptomatique, de la leucémie aiguë lymphoïde/lymphoblastique, de la maladie de Hodgkin et du lymphome non hodgkinien, en association avec d'autres médicaments.",,,
DEXAMETHASONE,NÉOFORDEX,,Hématologique,"Chez l’adulte, en association, dans le traitement de certaines formes de leucémie aiguë lymphoblastique.",,CDEXA03,9417894
DEXAMÉTHASONE,DEXLIQ,PO,Hématologique,"Traitement du myélome multiple symptomatique, de la leucémie aiguë lymphoïde/lymphoblastique, de la maladie de Hodgkin et du lymphome non hodgkinien, en association avec d'autres médicaments.",,,
DEXAMÉTHASONE,NEOFORDEX,,Hématologique,"Chez l’adulte, en association, dans le traitement de certaines formes de leucémie aiguë lymphoblastique.",,CDEXA03,9417894
DEXAMÉTHASONE,NÉOFORDEX,PO,Hématologique,"Chez l’adulte, en association, dans le traitement de certaines formes de leucémie aiguë lymphoblastique.",,CDEXA03,9417894
DINUTIXIMAB,QARZIBA,IV,SNC,"Neuroblastome récidivant ou réfractaire, avec ou sans maladie résiduelle chez patient ≥ 12 mois.
Avant d’initier le traitement d’un neuroblastome récidivant, il convient de stabiliser toute maladie progressant de manière active par d’autres mesures adéquates. Chez les patients présentant des antécédents de maladie récidivante ou réfractaire et chez les patients n’ayant pas présenté une réponse complète après un traitement de première ligne, Qarziba® doit être associé à l’interleukine 2 (IL-2).",I000593,,9439542
DOCETAXEL,TAXOTÈRE,,Sein,En association à la capecitabine est indiqué dans le traitement du cancer du sein localement avancé ou métastatique après échec d’une chimiothérapie cytotoxique ayant comporté une anthracycline.,,,
DOCÉTAXEL,TAXOTERE,,Sein,En association à la capecitabine est indiqué dans le traitement du cancer du sein localement avancé ou métastatique après échec d’une chimiothérapie cytotoxique ayant comporté une anthracycline.,,,
DOCÉTAXEL,TAXOTÈRE,IV,Sein,En association à la capecitabine est indiqué dans le traitement du cancer du sein localement avancé ou métastatique après échec d’une chimiothérapie cytotoxique ayant comporté une anthracycline.,,,
DOSTARLIMAB,JEMPERLI,IV,Gynécologique,En combinaison avec une chimiothérapie à base de sels de platine pour le traitement des patientes adultes atteintes d’un cancer de l’endomètre avancé nouvellement diagnostiqué ou récidivant et candidates à un traitement systémique,,CDOST02,9001307
DOXORUBICINE ,ADRIBLASTINE,IV,Autre,"Cancers de la vessie, de l’ovaire, de l'estomac",,,
DOXORUBICINE LIPOSOMALE,MYOCET,IV,Sein,"En association au cyclophosphamide, est indiqué dans le traitement du cancer du sein métastatique de la femme adulte, en première ligne.",I000240,,
DOXORUBICINE LIPOSOMALE PEGYLEE,CAELYX,,Hématologique,En association avec le bortézomib pour le traitement du myélome multiple en progression chez les patients qui ont reçu au moins un traitement antérieur et qui ont déjà subi ou qui sont inéligibles pour une greffe de moelle osseuse,I000049,,
DOXORUBICINE LIPOSOMALE PEGYLEE,ZOLSKETIL,,Hématologique,En association avec le bortézomib pour le traitement du myélome multiple en progression chez les patients qui ont reçu au moins un traitement antérieur et qui ont déjà subi ou qui sont inéligibles pour une greffe de moelle osseuse,I000049,,
DOXORUBICINE LIPOSOMALE PÉGYLÉE,CAELYX,IV,Hématologique,En association avec le bortézomib pour le traitement du myélome multiple en progression chez les patients qui ont reçu au moins un traitement antérieur et qui ont déjà subi ou qui sont inéligibles pour une greffe de moelle osseuse,I000049,,
DOXORUBICINE LIPOSOMALE PÉGYLÉE,ZOLSKETIL,IV,Hématologique,En association avec le bortézomib pour le traitement du myélome multiple en progression chez les patients qui ont reçu au moins un traitement antérieur et qui ont déjà subi ou qui sont inéligibles pour une greffe de moelle osseuse,I000049,,
DURVALUMAB,IMFINZI,IV,Digestif,En association avec une chimiothérapie à base de gemcitabine/cisplatine pour le traitement de première ligne des patients adultes atteints d’un cancer des voies biliaires non résécable ou métastatique,,CDURV05,"9440545 (flacon 10 mL)
9440551 (flacon 2,4 mL)"
DUVELISIB,COPIKTRA,PO,Hématologique,En monothérapie pour le traitement des patients adultes atteints de Leucémie lymphoïde chronique (LLC) récidivante ou réfractaire après au moins deux traitements antérieurs,,,
DÉCITABINE + CÉDAZURIDINE,INAQOVI,IV,Hématologique,Traitement des patients adultes atteints de leucémie aiguë myéloïde (LAM) nouvellement diagnostiquée et qui ne sont pas éligibles à une chimiothérapie d'induction standard.,,,
DÉGARÉLIX,FIRMAGON,IV,Uro/néphrologie,"Traitement du cancer de la prostate avancé, hormono-dépendant",,,
ELACESTRANT,ORSERDU,PO,Sein,"En monothérapie dans le traitement du cancer du sein localement avancé ou métastatique, positif pour les récepteurs aux estrogènes (RE) et négatif pour les récepteurs du facteur de croissance épidermique humain 2 (HER2), chez les femmes ménopausées et les hommes ayant progressé après au moins une ligne d’hormonothérapie en association avec un inhibiteur des CDK 4/6 chez les patients non éligibles à un traitement par chimiothérapie (Les patients présentant une mutation germinale BRCA doivent avoir reçu un inhibiteur sélectif des enzymes poly(ADP-ribose) polymérases (PARP))",,NELAC04,"9003094 (345 mg)
9003095 (86 mg)"
ELOTUZUMAB,EMPLICITI,IV,Hématologique,En association au lénalidomide et à la dexaméthasone dans le traitement du myélome multiple chez des patients adultes ayant reçu au moins un traitement antérieur.,,,
ELRANATAMAB,ELRANATAMAB,SC,Hématologique,"En monothérapie dans le traitement des adultes atteints d'un myélome multiple en rechute et réfractaire, ayant reçu au moins trois traitements antérieurs incluant un agent immunomodulateur, un inhibiteur du protéasome et un anticorps anti-CD38 et dont la maladie a progressé pendant le dernier traitement, lorsque toutes les options thérapeutiques sont épuisées (hors thérapies cellulaires), sur l'avis d'une réunion de concertation pluridisciplinaire (RCP).",,CELRA01,9002387
ELRANATAMAB ,ELRANATAMAB ,SC,Hématologique,Myélome multiple,,NELRA01,9002387
ENASIDENIB,IDHIFA,PO,Hématologique,"Traitement de la Leucémie Aiguë Myéloïde en rechute ou réfractaire :
 - IDH 2 positive
 - A partir de la 3e ligne pour les patients éligibles à une chimiothérapie d’induction en vue d’une allogreffe (patients ayant reçu une 1ère ligne de traitement incluant un protocole d’induction à la greffe à base d’anthracycline + aracytine et une 2nde ligne de traitement incluant un traitement de re-induction ou un agent hypométhylant)
 - A partir de la 2e ligne pour les patients non éligibles à une chimiothérapie d’induction en vue d’une allogreffe (patients ayant reçu un agent hypométhylant)",,NENAS02,9436354
ENCORAFENIB,BRAFTOVI,,Dermatologique,En association au Binimétinib dans le traitement de patients adultes atteints de mélanome non résécable ou métastatique porteur d'une mutation BRAF V600,,,
ENCORAFÉNIB,BRAFTOVI,PO,Dermatologique,En association au Binimétinib dans le traitement de patients adultes atteints de mélanome non résécable ou métastatique porteur d'une mutation BRAF V600,,,
ENFORTUMAB VEDOTIN,PADCEV,IV,Uro/néphrologie,"En monothérapie pour le traitement des patients adultes atteints de carcinome urothélial localement avancé ou métastatique, ayant reçu précédemment une chimiothérapie à base de sels de platine et un inhibiteur du récepteur de mort programmée-1 (anti PD-1) ou un inhibiteur du ligand du récepteur de mort programmée (anti PD-L1)",,CENFO01,"9001996 (30 mg)
9002222 (20 mg)"
ENTRECTINIB,ROZLYTREK,PO,Bronchopulmonaire,"En monothérapie chez les patients adultes atteints de formes avancées de cancer du poumon non à petites cellules (CPNPC) positif pour ROS1 (ROS1+), non précédemment traités par des inhibiteurs de ROS1",,,
ENZALUTAMIDE,XTANDI,PO,Uro/néphrologie,"Traitement des patients adultes atteints d'un cancer de la prostate hormono-sensible métastatique de haut volume, et pour lesquels un traitement par acétate d’abiratérone ou docétaxel ne peut être considéré, en association avec un traitement par suppression androgénique.",,CENZA01,
EPCORITAMAB,EPCORITAMAB,SC,Hématologique,Lymphome diffus à grandes cellules B en rechute ou réfractaire après au moins 3 lignes de traitements et inéligible à un traitement par CAR-T cells.,,NEPCO01,"9003123 (5mg/mL)
9003146 (60 mg/mL)"
EPCORITAMAB,TEPKINLY,SC,Hématologique,"En monothérapie dans le traitement des patients adultes atteints d’un lymphome diffus à grandes cellules B (LDGCB) réfractaire ou en rechute, après au moins deux lignes de traitement systémique, inéligibles à l’ensemble des traitements disponibles ou en échec aux médicaments à base de cellules CAR-T",,CEPCO01,"9003518 (4mg)
9003517 (48 mg)"
EPIRUBICINE,EPIRUBICINE,Intravésicale,Uro/néphrologie,Traitement prophylactique de la récurrence du carcinome superficiel de la vessie après résection transuréthrale,,,
EPIRUBICINE,FARMORUBICINE,IV,Bronchopulmonaire,Cancer bronchiuqe à petites cellules,,,
ERDAFITINIB,BALVERSA,PO,Uro/néphrologie,Patient adulte non éligible à un essai en cours et atteint d'un carcinome urothélial de stade IV (métastatique ou inopérable) avec altérations des gènes FGFR3 et en progression après chimiothérapie et immunothérapie.,,NERDA01,"9434177 (3 mg)
9434183 (4 mg)
9434208 (5 mg)"
ERDAFITINIB,ERDAFITINIB,PO,Uro/néphrologie,Cancer de l'endomètre,,NERDA04,"9434177 (3 mg)
9434208 (5 mg)"
ERIBULINE,HALAVEN,IV,Sein,"Dans le traitement des patients atteints d’un cancer du sein localement avancé ou métastatique, dont la maladie a progressé après au moins un protocole de chimiothérapie pour le traitement du stade avancé.
Le traitement antérieur, en situation adjuvante ou métastatique, doit avoir comporté une anthracycline et un taxane, sauf chez les patients ne pouvant pas recevoir ces traitements",I000153,,9368954
ERLOTINIB,TARCEVA,PO,Bronchopulmonaire,"Dans le traitement des formes localement avancées ou métastatiques du CBNPC après échec d'au moins une ligne de chimiothérapie. Chez les patients avec des tumeurs sans mutations activatrices de l’EGFR, Tarceva est indiqué lorsque les autres options de traitement ne sont pas considérées appropriées.",,,
ESTRAMUSTINE,ESTRACYT,PO,Uro/néphrologie,Traitement des cancers prostatiques hormonorésistants.,,,
ETOPOSIDE,CELLTOP,PO,Hématologique,Indiqué pour la prise en charge des leucémies aiguës dans le traitement d'induction de la rémission complète des formes en rechute et dans certaines modalités de traitement d'entretien de la rémission complète,,,
ETOPOSIDE,ETOPOPHOS,IV,Hématologique,En association à d'autres agents de chimiothérapie autorisés dans le traitement de la leucémie aiguë myéloïde chez l'adulte et les enfants.,,,
ETOPOSIDE,ETOPOSIDE,IV,Hématologique,en association à d’autres agents de chimiothérapie autorisés dans le traitement de la leucémie aiguë myéloïde chez l’adulte et les patients pédiatriques.,,,
EVEROLIMUS,AFINITOR,,Tumeurs neuroendocrines,Traitement de tumeurs neuroendocrines d'origine pancréatique non résécables ou métastatiques bien ou moyennement différenciées avec progression de la maladie chez l'adulte.,,,
EVEROLIMUS,VOTUBIA,,Autre,Chez les adultes ayant un angiomyolipome rénal associé à une sclérose tubéreuse de Bourneville (STB) qui présentent un risque de complications (sur la base de facteurs de risque tels que la taille de la tumeur ou la présence d'un anévrisme ou la présence de tumeurs multiples ou bilatérales) mais qui ne nécessitent pas d'intervention chirurgicale immédiate,,,
EVÉROLIMUS,AFINITOR,PO,Tumeurs neuroendocrines,Traitement de tumeurs neuroendocrines d'origine pancréatique non résécables ou métastatiques bien ou moyennement différenciées avec progression de la maladie chez l'adulte.,,,
EVÉROLIMUS,VOTUBIA,PO,Autre,Chez les adultes ayant un angiomyolipome rénal associé à une sclérose tubéreuse de Bourneville (STB) qui présentent un risque de complications (sur la base de facteurs de risque tels que la taille de la tumeur ou la présence d'un anévrisme ou la présence de tumeurs multiples ou bilatérales) mais qui ne nécessitent pas d'intervention chirurgicale immédiate,,,
EXEMESTANE,AROMASINE,PO,Sein,"Traitement adjuvant du cancer du sein invasif à un stade précoce exprimant des récepteurs aux estrogènes, chez les femmes ménopausées, à la suite d’un traitement adjuvant initial d’une durée de 2 à 3 ans par tamoxifène.",,,
FEDRATINIB,INREBIC,PO,Hématologique,"Inrebic est indiqué dans le traitement de la splénomégalie ou des symptômes liés à la maladie chez les patients adultes atteints de myélofibrose primitive, de myélofibrose secondaire à une polyglobulie de Vaquez ou une thrombocytémie essentielle qui sont naïfs d’inhibiteur de Janus kinase (JAK) ou qui ont été traités par ruxolitinib.",,,
FLUDARABINE,FLUDARA,IV,Hématologique,"Traitement de la leucémie lymphoïde chronique (LLC) à cellules B chez les patients ayant des réserves médullaires suffisantes.

Le traitement en première ligne avec la fludarabine doit uniquement être initié chez les patients en stade avancé de la maladie, Raï stade III/IV (Binet stade C) ou Raï stade I/II (Binet stade A/B) lorsque le patient présente des symptômes associés à la maladie ou une maladie en progression.",,,
FLUOROURACILE,FLUOROURACILE,IV,Digestif,Adénocarcinomes digestifs évolués ou pour les cancers colorectaux après résection en situation adjuvante.,,,
FOTEMUSTINE,MUPHORAN,,Dermatologique,Traitement du mélanome malin disséminé (y compris dans les localisations cérébrales)  en première ligne de traitement et en association à une autre chimiothérapie (quelle que soit la ligne de traitement).,,,
FOTÉMUSTINE,MUPHORAN,IV,Dermatologique,Traitement du mélanome malin disséminé (y compris dans les localisations cérébrales)  en première ligne de traitement et en association à une autre chimiothérapie (quelle que soit la ligne de traitement).,,,
FULVESTRANT,FASLODEX,IM,Sein,"En association au palbociclib dans le traitement du cancer du sein localement avancé ou métastatique, RH+/HER2-, prétraité par hormonothérapie (au stade avancé ou lors d’un traitement adjuvant pour les progressions précoces) chez les femmes non ménopausées et/ou en cas d’atteinte viscérale symptomatique menaçant le pronostic vital à court terme.",,,
FUTIBATINIB,LYTGOBI,PO,Digestif,Traitement en monothérapie des patients adultes atteints de cholangiocarcinome localement avancé ou métastatique avec une fusion ou un réarrangement du récepteur 2 du facteur de croissance des fibroblastes (FGFR2) qui ont progressé après au moins une ligne antérieure de traitement systémique,,,
FUTIBATINIB,TAS-120 ,PO,Digestif,Cholangiocarcinome,,NFUTI02,
GEFITINIB,IRESSA,,Bronchopulmonaire,"Chez les adultes, en 2ème ou 3ème ligne, en monothérapie dans le traitement du cancer bronchique non à petites cellules (CBNPC) localement avancé ou métastatique avec mutations activatrices de l'EGFR-TK.",,,
GEMCITABINE,GEMZAR,IV,Bronchopulmonaire,En association avec le cispaltine dans le traitement en première ligne des patients atteints de cancer bronchique non à petites cellules (CBNPC) localement avancé ou métastatique. Un traitement par gemcitabine en monothérapie peut être envisagé chez les patients âgés ou chez ceux ayant un indice de performance de 2,,,
GEMTUZUMAB OZOGAMICINE,MYLOTARG,IV,Hématologique,"En association avec la daunorubicine et la cytarabine pour le traitement des patients âgés de 15 ans et plus atteints de leucémie myéloïde de novo CD33 positif, précédemment non traitée, hors leucémie aiguë promyélocytaire.",,,
GILTERINIB,XOSPATA,PO,Hématologique,"Gilteritinib est indiqué chez les adultes présentant une leucémie aiguë myéloïde (LAM) en rechute à partir de la 3ème ligne, ou à partir de la 2ème ligne chez les adultes non éligibles à une chimiothérapie intensive de rattrapage, ou réfractaire, porteurs d’une mutation du gène FLT3",,,
GLOFITAMAB,COLUMVI,IV,Hématologique,"En monothérapie dans le traitement des patients adultes atteints d’un lymphome diffus à grandes cellules B (LDGCB) réfractaire ou en rechute, après au moins deux lignes de traitement systémique, inéligibles à l’ensemble des traitements disponibles ou en échec aux médicaments à base de cellules CAR-T",,CGLOF01,9000780
GLOFITAMAB,GLOFITAMAB,IV,Hématologique,En monothérapie dans le traitement des Lymphomes B diffus à grandes cellules en rechute ou réfractaires après au moins trois lignes de traitement chez les patients inéligibles à un traitement par Car-T Cells,,NGLOF02,
GOSERELINE,ZOLADEX,,Uro/néphrologie,Traitement adjuvant à la radiothérapie externe dans le cancer de la prostate localement avancé (stade T3 - T4 de la classification TNM ou stade C de la classification AUA).,,,
GOSÉRÉLINE,ZOLADEX,SC,Uro/néphrologie,Traitement adjuvant à la radiothérapie externe dans le cancer de la prostate localement avancé (stade T3 - T4 de la classification TNM ou stade C de la classification AUA).,,,
GÉFITINIB,IRESSA,PO,Bronchopulmonaire,"Chez les adultes, en 2ème ou 3ème ligne, en monothérapie dans le traitement du cancer bronchique non à petites cellules (CBNPC) localement avancé ou métastatique avec mutations activatrices de l'EGFR-TK.",,,
HYDROXYCARBAMIDE,HYDREA,PO,Hématologique,"Traitement de la leucémie myéloïde chronique, de la polyglobulie primitive, de la thrombocytémie essentielle avec un fort risque de complications thrombo-emboliques",,,
IBRITUMOMAB TIUXETAN,ZEVALIN,IV,Hématologique,"Marqué à l'yttrium-90 
Traitement de consolidation après induction d'une rémission chez les patients atteints d’un lymphome folliculaire, non traité antérieurement.",I000387,,9258504
IBRUTINIB,IMBRUVICA,PO,Hématologique,"En association à l'obinituzumab, pour le traitement des patients adultes atteints d'une leucémie lymphoïde chronique (LLC) non précédemment traités",,,
IDARUBICINE,ZAVEDOS,IV,Hématologique,En association avec la cytarabine dans le traitement de 1ère ligne d’induction de la rémission chez des enfants non précédemment traités et atteints de leucémie aiguë myéloïde (LAM).,,,
IDECABTAGENE VICLEUCEL,ABECMA,IV,Hématologique,"Abecma est indiqué pour le traitement des patients adultes atteints d’un myélome multiple en rechute et réfractaire ayant reçu au moins trois traitements antérieurs, incluant un agent immunomodulateur, un inhibiteur du protéasome et un anticorps anti-CD38, et dont la maladie a progressé pendant le dernier traitement.",,CIDEC01,"9001263 (poche de 250 mL) 
9001264 (poche de 50 mL)
9001265 (poche de 500 mL)"
IDELALISIB,ZYDÉLIG,,Hématologique,"Zydelig est indiqué en association au rituximab pour le traitement de patients adultes atteints de leucémie lymphoïde chronique (LLC) :
  - ayant reçu au moins un traitement antérieur, ou
 - comme traitement de première intention en présence d'une délétion 17p ou d'une mutation TP53 chez les patients qui ne sont éligibles à aucun autre traitement.",,,
IDÉLALISIB,ZYDELIG,,Hématologique,"Zydelig est indiqué en association au rituximab pour le traitement de patients adultes atteints de leucémie lymphoïde chronique (LLC) :
  - ayant reçu au moins un traitement antérieur, ou
 - comme traitement de première intention en présence d'une délétion 17p ou d'une mutation TP53 chez les patients qui ne sont éligibles à aucun autre traitement.",,,
IDÉLALISIB,ZYDÉLIG,PO,Hématologique,"Zydelig est indiqué en association au rituximab pour le traitement de patients adultes atteints de leucémie lymphoïde chronique (LLC) :
  - ayant reçu au moins un traitement antérieur, ou
 - comme traitement de première intention en présence d'une délétion 17p ou d'une mutation TP53 chez les patients qui ne sont éligibles à aucun autre traitement.",,,
IMATINIB,GLIVEC,PO,Hématologique,Chez l’adulte et chez l'enfant dans le traitement de la LMC à chromosome Philadelphie (bcr-abl) positif en phase accélérée ou en crise blastique.,,,
INOTUZUMAB OZOGAMICIN,BESPONSA,IV,Hématologique,"En monothérapie dans le traitement des patients adultes présentant une leucémie aiguë lymphoblastique (LAL) à précurseur B, CD22+ en rechute ou réfractaire avec chromosome Philadelphie négatif (Phi-)",,,
IPILIMUMAB,YERVOY,IV,Uro/néphrologie,"En association à nivolumab, en première ligne, dans le traitement des patients adultes atteints d’un carcinome à cellules rénales avancé de pronostic intermédiaire/défavorable",I000494,,"9374050 (50 mg)
9374067 (200 mg)"
IRINOTECAN,CAMPTO,,Digestif,CAMPTO en association avec la capécitabine avec ou sans bévacizumab est indiqué en traitement de première ligne chez les patients présentant un cancer colorectal métastatique.,,,
IRINOTECAN LIPOSOMAL,ONIVYDE,,Digestif,"En association avec le 5-fluorouracile (5-FU) et la leucovorine (LV), est indiqué dans le traitement des adénocarcinomes du pancréas métastatiques, chez les patients adultes en progression de la maladie après un traitement ayant comporté de la gemcitabine.",,,
IRINOTÉCAN,CAMPTO,IV,Digestif,CAMPTO en association avec la capécitabine avec ou sans bévacizumab est indiqué en traitement de première ligne chez les patients présentant un cancer colorectal métastatique.,,,
IRINOTÉCAN LIPOSOMAL,ONIVYDE,IV,Digestif,"En association avec le 5-fluorouracile (5-FU) et la leucovorine (LV), est indiqué dans le traitement des adénocarcinomes du pancréas métastatiques, chez les patients adultes en progression de la maladie après un traitement ayant comporté de la gemcitabine.",,,
ISATUXIMAB,SARCLISA,IV,Hématologique,En association avec le carfilzomib et la dexaméthasone pour le traitement des patients adultes atteints de myélome multiple qui ont reçu au moins un traitement antérieur,I000606,,"9455475 (500 mg)
9455481 (100 mg)"
IVOSIDENIB,IVOSIDENIB,PO,Digestif,Monothérapie des patients adultes atteints de cholangiocarcinome avancé non résécable ou métastatique avec une mutation IDH1 et en progression après 2 lignes de traitement pour la maladie avancée non résécable et/ou métastatique et avec un ECOG 0 ou 1,,NIVOS05,
IVOSIDENIB,TIBSOVO,PO,Digestif,"En monothérapie des patients adultes atteints de cholangiocarcinome avancé non résécable ou métastatique avec une mutation de l’isocitrate déshydrogénase 1 (IDH1) R132, ayant un score ECOG 0 ou 1, et en progression après 2 lignes de traitement pour la maladie avancée non résécable et/ou métastatique sur avis d’une réunion de concertation pluridisciplinaire (RCP).",,CIVOS01,9003242
IXAZOMIB,NINLARO,PO,Hématologique,NINLARO en association avec le lénalidomide et la dexaméthasone est indiqué dans le traitement du myélome multiple chez les patients adultes qui ont reçu au moins un traitement antérieur,,,
LAPATINIB,TYVERB,PO,Sein,"Chez l'adulte, dans le traitement du cancer du sein, avec surexpression des récepteurs HER2 (ErbB2) en association à la capécitabine, chez les patients ayant une maladie avancée ou métastatique en progression après un traitement antérieur ayant comporté une anthracycline, un taxane et un traitement ayant inclus du trastuzumab en situation métastatique.",,,
LAROTRECTINIB,VITRAKVI,PO,Autre,"Autres situations en pédiatrie incluses dans l’AMM et chez l’adulte dans l’ensemble des tumeurs solides ayant une fusion du gène NTRK (Neurotrophic Tyrosine Receptor Kinase) : 
 - au stade localement avancé ou métastatique, ou pour laquelle une résection chirurgicale risquerait d’entraîner une morbidité sévère, et
 - lorsqu’il n’existe aucune option thérapeutique satisfaisante.",,,
LENALIDOMIDE,REVLIMID,,Hématologique,"En association à la dexaméthasone, pour le traitement du myélome multiple chez les patients ayant déjà reçu au moins un traitement antérieur.",,,
LENVATINIB,KISPLYX,PO,Uro/néphrologie,"Kisplyx est indiqué dans le traitement des adultes atteints d’un carcinome à cellules rénales avancé en association avec l’évérolimus, après un traitement par anti-VEGF",,,
LENVATINIB,LENVIMA,PO,Gynécologique,"En association au pembrolizumab, est indiqué dans le traitement des patientes adultes atteintes d’un cancer de l’endomètre avancé ou récidivant, dont la maladie progresse pendant ou suite à une chimiothérapie antérieure à base de sels de platine reçue quel que soit le stade et qui ne sont pas éligibles à une chirurgie curative ou à une radiothérapie.",,,
LETROZOLE,FEMARA,,Sein,Prolongation du traitement adjuvant du cancer du sein hormonodépendant invasif chez la femme ménopausée ayant préalablement reçu un traitement adjuvant standard par le tamoxifène pendant 5 ans,,,
LEUPRORELINE,ELIGARD,,Uro/néphrologie,En association avec la radiothérapie dans le traitement du cancer de la prostate localisé à haut risque et localement avancé hormonodépendant,,,
LEUPRORELINE,ENANTONE,,Uro/néphrologie,Traitement concomitant et adjuvant à la radiothérapie externe dans le cancer de la prostate localement avancé (stade T3-T4 de la classification TNM ou stade C de la classification AUA),,,
LEUPRORELINE,LEPTOPROL,,Uro/néphrologie,Traitement à visée palliative chez les patients atteints de cancer de la prostate avancé hormonosensible.,,,
LEUPRORELINE,ZEULIDE,,Uro/néphrologie,"Traitement adjuvant, en association au tamoxifène ou à un inhibiteur de l’aromatase, du cancer du sein à un stade précoce répondant à l’hormonothérapie chez les femmes pré- et péri-ménopausées à haut risque de récidive (âge jeune, tumeur de haut grade, envahissement ganglionnaire)",,,
LEUPRORÉLINE,ELIGARD,SC,Uro/néphrologie,En association avec la radiothérapie dans le traitement du cancer de la prostate localisé à haut risque et localement avancé hormonodépendant,,,
LEUPRORÉLINE,ENANTONE,"IM
 SC",Uro/néphrologie,Traitement concomitant et adjuvant à la radiothérapie externe dans le cancer de la prostate localement avancé (stade T3-T4 de la classification TNM ou stade C de la classification AUA),,,
LEUPRORÉLINE,LEPTOPROL,SC,Uro/néphrologie,Traitement à visée palliative chez les patients atteints de cancer de la prostate avancé hormonosensible.,,,
LEUPRORÉLINE,ZEULIDE,IM,Uro/néphrologie,"Traitement adjuvant, en association au tamoxifène ou à un inhibiteur de l’aromatase, du cancer du sein à un stade précoce répondant à l’hormonothérapie chez les femmes pré- et péri-ménopausées à haut risque de récidive (âge jeune, tumeur de haut grade, envahissement ganglionnaire)",,,
LINZAGOLIX,YSELTY,VO,Gynécologique,Traitement des symptômes modérés à sévères des fibromes utérins chez la femme adulte en âge de procréer,,,
